name	z	m_V
2005mo	0.273454756	21.2271576
2005lo	0.29751882	21.2722054
2005lq	0.378965795	22.0814896
1166	0.380416512	21.7723389
2005lp	0.301755041	21.9938087
2005mq	0.348345011	21.8077927
2005ff	0.0856894627	18.4974136
2005fd	0.260586113	21.0231667
2005fe	0.215543315	20.7965279
2005fh	0.117625326	19.0794182
2005gj	0.182218239	20.0938187
1688	0.357507348	21.8288383
2005fj	0.141788006	19.7738113
2005fo	0.260533482	21.308136
2005fl	0.232781112	20.7045288
2005fm	0.151857898	19.6557884
2005fn	0.0939086303	18.672821
2005fr	0.28661871	21.5384064
2005fy	0.194316506	20.4615211
2005ey	0.147025138	19.8035851
2005fp	0.211586982	21.0603218
2005ft	0.180119783	20.1385765
2005fi	0.263491035	21.2673225
2005fu	0.192149982	20.5392189
2005fs	0.338802606	21.8053703
2005fv	0.117277361	19.2459335
2005fw	0.142404646	19.616478
2005fa	0.16086185	19.8191757
2005fx	0.288418353	21.3427849
2005fz	0.122828901	19.2997894
2005go	0.263647944	21.0481758
2005gp	0.126473159	19.2104683
2005ga	0.172742233	20.0029373
2005gc	0.163795888	19.8945618
2005gs	0.249511048	21.2809258
2005gh	0.257740289	21.1514778
2005hn	0.106712341	19.1366653
2005gd	0.159889936	19.8505859
2005ge	0.204979688	20.5245018
2005gr	0.24437888	20.701931
2005gf	0.248508126	20.7721748
2005gg	0.22852847	20.7544327
2005gb	0.0858546421	18.452446
2005ho	0.0618357658	17.6309929
2005gt	0.277853429	21.3380089
2005gw	0.275440186	21.2433929
4064	0.155247331	19.8173218
2005gu	0.330512434	21.7279396
2005gv	0.361934304	21.8844528
2005gy	0.330634624	21.5522614
2005gx	0.144621089	19.7908287
2005gq	0.389288783	22.1026268
2005hp	0.173910052	20.0319405
2005hs	0.300312698	21.3468475
2005hr	0.116348505	19.2461395
2005hu	0.218585193	20.6990967
2005hx	0.119671538	19.2555389
2005hy	0.154632092	19.8239517
2005hw	0.408319086	22.3402939
2005hv	0.177600697	20.5706749
2005ia	0.250667632	21.2456017
2005jz	0.251740187	21.0417213
5737	0.391599208	22.008728
2005hz	0.128726736	19.3642235
2005hq	0.39960134	22.2288017
2005ic	0.309492648	21.5181923
2005is	0.170628399	19.9748993
2005ie	0.278924674	21.2678299
2005it	0.308580875	21.4076233
2005ht	0.185812443	20.3240967
2005if	0.0664403141	17.8721046
2005ka	0.316429853	21.8950729
2005ih	0.257497877	21.0941658
2005iv	0.298777431	21.5293579
2005jy	0.270434439	21.1689835
2005ig	0.279454738	21.0012856
2005ii	0.29246977	21.4190483
2005jk	0.188853174	20.292038
2005ix	0.265762478	20.9981499
2005ij	0.124273531	19.219986
2005id	0.18254891	20.2840233
2005jd	0.312883377	21.5144501
2005ik	0.309547335	21.6925583
2005iu	0.0890194327	18.3284531
2005iy	0.402459621	22.4111481
2005iz	0.200611725	20.3523903
2005ja	0.326396495	21.4723053
2005jc	0.211629599	20.4801064
2005jl	0.179685637	20.2209587
2005je	0.0931494012	18.7809143
2005jg	0.302401632	21.5331993
2005jh	0.108638264	19.1505013
2005ed	0.0856961161	18.4937935
2005jm	0.202608675	20.4677582
2005kn	0.19671607	20.4244156
2005ei	0.126687989	19.4152069
2005ji	0.214568257	20.7018509
2005jn	0.320446998	21.602787
2005jo	0.218347445	20.7208481
2005eg	0.189706564	20.4395638
2005ex	0.0929368213	18.6458282
2005jw	0.379662305	21.9330635
2005jp	0.210938394	20.4839363
2005jj	0.366602898	22.3598557
2005jv	0.420926809	22.6335487
2005ju	0.258028269	21.14468
2005ko	0.183568403	20.2107964
2005mi	0.212548763	20.5875931
2005jt	0.360034198	21.657299
2005mh	0.393974483	22.2811546
2005kp	0.114712618	19.1690941
2005ld	0.143705904	19.6857719
2005le	0.25248605	21.0184212
2005kq	0.387297094	22.3924637
2005lg	0.348583847	21.8009415
2005li	0.255490631	20.9859428
2005lh	0.21658282	20.8602715
1996e	0.430000007	21.8188591
1996h	0.620000005	23.7279625
1996i	0.569999993	22.989109
1996j	0.300000012	21.4627953
1996k	0.379999995	22.5631752
1996u	0.430000007	22.8985405
1995ao	0.239999995	21.2421913
1997ce	0.439999998	22.5495338
1997cj	0.5	22.8630028
1997ck	0.970000029	23.3212051
1995k	0.479000002	22.851757
1997ap	0.829999983	24.0424042
1997am	0.416000009	22.9236183
